,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Anime Features'}),frozenset({'Action & Adventure'}),0.015627306662167578,0.17388278465529242,0.010586920302844971,0.6774628879892037,3.8960894796584684,0.00786960070376507,2.5613090233072313,0.7551330798154541
1,frozenset({'Sci-Fi & Fantasy'}),frozenset({'Action & Adventure'}),0.053482928063774596,0.17388278465529242,0.030811734188160366,0.5761041009463723,3.3131750339083244,0.02151197372491255,1.9488681470829572,0.7376250628306132
2,frozenset({'Classic Movies'}),frozenset({'Dramas'}),0.02220722525676445,0.4527701035493599,0.01164139443659447,0.5242165242165242,1.1577984502666603,0.0015866267575452685,1.150165830264519,0.13938721665610126
3,frozenset({'Independent Movies'}),frozenset({'Dramas'}),0.14897610561612923,0.4527701035493599,0.11320834299934622,0.7599093997734995,1.6783559555200533,0.04575641623315101,2.2792641441788457,0.4749324173926647
4,frozenset({'International Movies'}),frozenset({'Dramas'}),0.44477718961553875,0.4527701035493599,0.2627538646477002,0.5907539118065434,1.3047546805221886,0.061372050449079396,1.3371658575071255,0.4206822817630904
5,frozenset({'Dramas'}),frozenset({'International Movies'}),0.4527701035493599,0.44477718961553875,0.2627538646477002,0.5803251199403792,1.3047546805221886,0.061372050449079396,1.3229831871413982,0.4268268241088669
6,frozenset({'Sports Movies'}),frozenset({'Dramas'}),0.02634076386106249,0.4527701035493599,0.013855790117468418,0.5260208166533227,1.1617834581606317,0.001929479736525918,1.1545441565318404,0.14302170064092573
7,frozenset({'Music & Musicals'}),frozenset({'International Movies'}),0.05384144926924943,0.44477718961553875,0.027732669717611826,0.5150802976889933,1.158063654600237,0.0037852212268074635,1.1449788650335455,0.14425659229346444
8,frozenset({'Romantic Movies'}),frozenset({'International Movies'}),0.1124280321403716,0.44477718961553875,0.06341607440369487,0.5640592759332207,1.2681839111866062,0.013410650234294927,1.2736199665058356,0.238257677230532
9,"frozenset({'Action & Adventure', 'Dramas'})",frozenset({'International Movies'}),0.04481515068435371,0.44477718961553875,0.02374675749203872,0.5298823529411765,1.1913433631774188,0.003814000718454988,1.1810295015685486,0.16814696316728442
10,"frozenset({'Comedies', 'Independent Movies'})",frozenset({'Dramas'}),0.042685112934179724,0.4527701035493599,0.02459033679903832,0.5760869565217391,1.272360855996614,0.005263793795813643,1.2909012941912537,0.22360400510593234
11,"frozenset({'Comedies', 'Dramas'})",frozenset({'International Movies'}),0.09855115254022818,0.44477718961553875,0.051395069278950586,0.5215065268564092,1.172511853198215,0.007561764618735631,1.1603560791263807,0.16321520355250646
12,"frozenset({'Comedies', 'Music & Musicals'})",frozenset({'International Movies'}),0.020035008541240483,0.44477718961553875,0.010439293924120041,0.5210526315789474,1.1714913528486937,0.0015281791312237846,1.1592564172862379,0.14938004227177187
13,"frozenset({'International Movies', 'Independent Movies'})",frozenset({'Dramas'}),0.05257608030875003,0.4527701035493599,0.04508931395912858,0.8576012835940633,1.8941208283655364,0.021284436633516368,3.8429412164829437,0.49824641995932184
14,"frozenset({'Music & Musicals', 'Dramas'})",frozenset({'International Movies'}),0.016049096315667376,0.44477718961553875,0.010376025476095072,0.6465177398160316,1.4535766557068168,0.003237753520943439,1.5707232665523234,0.3171314593161364
15,"frozenset({'Dramas', 'Romantic Movies'})",frozenset({'International Movies'}),0.055423160469873674,0.44477718961553875,0.03142332918573507,0.5669710806697108,1.2747305705128342,0.0067723716323336396,1.2821841350530438,0.22816619193261287
16,"frozenset({'Thrillers', 'International Movies'})",frozenset({'Dramas'}),0.04629141447160301,0.4527701035493599,0.02509648438323808,0.5421412300683371,1.1973874286715889,0.004137115859484047,1.1951936544369703,0.17284988826365105
17,"frozenset({'Thrillers', 'Dramas'})",frozenset({'International Movies'}),0.048758883944576836,0.44477718961553875,0.02509648438323808,0.5147058823529412,1.1572218503333056,0.003409645013578981,1.1440954880649505,0.14282547072703383
